"","Week","Day","Suffolk","MA","US"
"1",1,"12/31/2018",".",".","."
"2",1,"1/1/2020",".",".","."
"3",1,"1/2/2020",".",".","."
"4",1,"1/3/2020",".",".","."
"5",1,"1/4/2020",".",".","."
"6",1,"1/5/2020",".",".","."
"7",2,"1/6/2020",".",".","."
"8",2,"1/7/2020",".",".","."
"9",2,"1/8/2020",".",".","."
"10",2,"1/9/2020",".",".","."
"11",2,"1/10/2020",".",".","."
"12",2,"1/11/2020",".",".","."
"13",2,"1/12/2020",".",".","."
"14",3,"1/13/2020","-.00611",".0108","-.00377"
"15",3,"1/14/2020",".0561",".0437",".0184"
"16",3,"1/15/2020",".0344",".034",".0124"
"17",3,"1/16/2020",".00215","-.00678","-.0383"
"18",3,"1/17/2020",".0105","-.0104","-.0336"
"19",3,"1/18/2020","-.0158",".00148","-.013"
"20",3,"1/19/2020",".0264",".0107",".00722"
"21",4,"1/20/2020",".0504",".0548",".00736"
"22",4,"1/21/2020",".0272",".0325",".00492"
"23",4,"1/22/2020",".0374",".0273",".0165"
"24",4,"1/23/2020",".0738",".0644",".0696"
"25",4,"1/24/2020",".0599",".0621",".0592"
"26",4,"1/25/2020",".0696",".0298",".0337"
"27",4,"1/26/2020",".0223",".00802",".00136"
"28",5,"1/27/2020","-.0236","-.0606","-.0224"
"29",5,"1/28/2020","-.0667","-.0735","-.0399"
"30",5,"1/29/2020","-.0343","-.0639","-.0379"
"31",5,"1/30/2020","-.0144","-.0473","-.0225"
"32",5,"1/31/2020","-.0143","-.033","-.0116"
"33",5,"2/1/2020","-.0327","-.0163","-.00508"
"34",5,"2/2/2020","-.0348","-.0138","-.00942"
"35",6,"2/3/2020","-.0283",".00332",".00409"
"36",6,"2/4/2020","-.00266",".0139",".00888"
"37",6,"2/5/2020","-.0323",".0144",".00986"
"38",6,"2/6/2020","-.0526","-.000265","-.00021"
"39",6,"2/7/2020","-.0541","-.00377","-.00226"
"40",6,"2/8/2020","-.0424","-.000959",".0000181"
"41",6,"2/9/2020","-.0109",".0126",".00923"
"42",7,"2/10/2020","-.0364","-.0127","-.00522"
"43",7,"2/11/2020","-.0675","-.0262","-.00931"
"44",7,"2/12/2020","-.0689","-.0191","-.0035"
"45",7,"2/13/2020","-.0322",".000097","-.000238"
"46",7,"2/14/2020","-.0245",".00296","-.000361"
"47",7,"2/15/2020","-.0806","-.00317","-.00536"
"48",7,"2/16/2020","-.0922","-.00532","-.00398"
"49",8,"2/17/2020","-.0699",".0302",".000537"
"50",8,"2/18/2020","-.0566",".029",".00352"
"51",8,"2/19/2020","-.05",".0000482","-.00414"
"52",8,"2/20/2020","-.0638","-.00526","-.00538"
"53",8,"2/21/2020","-.0693","-.00535","-.0115"
"54",8,"2/22/2020","-.0222",".00193","-.0159"
"55",8,"2/23/2020","-.0105",".00525","-.0188"
"56",9,"2/24/2020","-.00585",".0156","-.0251"
"57",9,"2/25/2020",".0159",".0188","-.0319"
"58",9,"2/26/2020","-.00654",".0185","-.0269"
"59",9,"2/27/2020","-.0243",".0152","-.0293"
