"","Week","Day","Suffolk","MA","US"
"1",1,"12/31/2018",".",".","."
"2",1,"1/1/2020",".",".","."
"3",1,"1/2/2020",".",".","."
"4",1,"1/3/2020",".",".","."
"5",1,"1/4/2020",".",".","."
"6",1,"1/5/2020",".",".","."
"7",2,"1/6/2020",".",".","."
"8",2,"1/7/2020",".",".","."
"9",2,"1/8/2020",".",".","."
"10",2,"1/9/2020",".",".","."
"11",2,"1/10/2020",".",".","."
"12",2,"1/11/2020",".",".","."
"13",2,"1/12/2020",".",".","."
"14",3,"1/13/2020","-.00611",".00904","-.00354"
"15",3,"1/14/2020","-.000682",".0409",".0187"
"16",3,"1/15/2020",".0344",".0335",".0128"
"17",3,"1/16/2020",".00215","-.00666","-.038"
"18",3,"1/17/2020",".0105","-.014","-.0332"
"19",3,"1/18/2020","-.0158","-.0039","-.0127"
"20",3,"1/19/2020",".0264",".0083",".00752"
"21",4,"1/20/2020",".0504",".0538",".00747"
"22",4,"1/21/2020",".0272",".0322",".00492"
"23",4,"1/22/2020",".0374",".0267",".0165"
"24",4,"1/23/2020",".0738",".0669",".0694"
"25",4,"1/24/2020",".0599",".0663",".0587"
"26",4,"1/25/2020",".0696",".0328",".0332"
"27",4,"1/26/2020",".0223",".0104",".000974"
"28",5,"1/27/2020","-.0236","-.0597","-.0225"
"29",5,"1/28/2020","-.0667","-.0721","-.0401"
"30",5,"1/29/2020","-.0343","-.0625","-.0382"
"31",5,"1/30/2020","-.0144","-.0475","-.023"
"32",5,"1/31/2020","-.0143","-.0335","-.0122"
"33",5,"2/1/2020","-.0327","-.0152","-.00543"
"34",5,"2/2/2020","-.0348","-.0126","-.00966"
"35",6,"2/3/2020","-.0283",".005",".00377"
"36",6,"2/4/2020","-.00266",".0133",".0085"
"37",6,"2/5/2020","-.0323",".0112",".0097"
"38",6,"2/6/2020","-.0526","-.000768","-.000129"
"39",6,"2/7/2020","-.0541","-.00333","-.00207"
"40",6,"2/8/2020","-.0424","-.000485","-.000109"
"41",6,"2/9/2020","-.0109",".014",".00884"
"42",7,"2/10/2020","-.0364","-.0113","-.0058"
"43",7,"2/11/2020","-.0675","-.0246","-.00977"
"44",7,"2/12/2020","-.0689","-.0196","-.00416"
"45",7,"2/13/2020","-.0322","-.00289","-.000867"
"46",7,"2/14/2020","-.0245","-.00138","-.00087"
"47",7,"2/15/2020","-.0806","-.00756","-.00578"
"48",7,"2/16/2020","-.0922","-.0105","-.00424"
"49",8,"2/17/2020","-.0699",".0253",".000358"
"50",8,"2/18/2020","-.0566",".0254",".00342"
"51",8,"2/19/2020","-.05",".000394","-.00414"
"52",8,"2/20/2020","-.0638","-.00543","-.0054"
"53",8,"2/21/2020","-.0693","-.00398","-.0117"
"54",8,"2/22/2020","-.0222",".00443","-.0159"
"55",8,"2/23/2020","-.0105",".00982","-.0187"
"56",9,"2/24/2020","-.00585",".0204","-.0249"
"57",9,"2/25/2020",".0159",".0232","-.0317"
"58",9,"2/26/2020","-.00654",".0246","-.0269"
"59",9,"2/27/2020","-.0243",".0215","-.0293"
