"","Week","Day","Suffolk","MA","US"
"1",1,"12/31/2018",".",".","."
"2",1,"1/1/2020",".",".","."
"3",1,"1/2/2020",".",".","."
"4",1,"1/3/2020",".",".","."
"5",1,"1/4/2020",".",".","."
"6",1,"1/5/2020",".",".","."
"7",2,"1/6/2020",".",".","."
"8",2,"1/7/2020",".",".","."
"9",2,"1/8/2020",".",".","."
"10",2,"1/9/2020",".",".","."
"11",2,"1/10/2020",".",".","."
"12",2,"1/11/2020",".",".","."
"13",2,"1/12/2020",".",".","."
"14",3,"1/13/2020","-.00611",".00906","-.00377"
"15",3,"1/14/2020",".0561",".041",".0184"
"16",3,"1/15/2020",".0344",".0337",".0124"
"17",3,"1/16/2020",".00215","-.00652","-.0385"
"18",3,"1/17/2020",".0105","-.0139","-.0338"
"19",3,"1/18/2020","-.0158","-.00375","-.0131"
"20",3,"1/19/2020",".0264",".00846",".00712"
"21",4,"1/20/2020",".0504",".0538",".00729"
"22",4,"1/21/2020",".0272",".0322",".00479"
"23",4,"1/22/2020",".0374",".0266",".0164"
"24",4,"1/23/2020",".0738",".0668",".0695"
"25",4,"1/24/2020",".0599",".0662",".0592"
"26",4,"1/25/2020",".0696",".0328",".0337"
"27",4,"1/26/2020",".0223",".0103",".00142"
"28",5,"1/27/2020","-.0236","-.0598","-.0223"
"29",5,"1/28/2020","-.0667","-.0722","-.0397"
"30",5,"1/29/2020","-.0343","-.0626","-.0377"
"31",5,"1/30/2020","-.0144","-.0476","-.0224"
"32",5,"1/31/2020","-.0143","-.0335","-.0116"
"33",5,"2/1/2020","-.0327","-.0153","-.00508"
"34",5,"2/2/2020","-.0348","-.0127","-.00943"
"35",6,"2/3/2020","-.0283",".00492",".00405"
"36",6,"2/4/2020","-.00266",".0132",".00881"
"37",6,"2/5/2020","-.0323",".0112",".00976"
"38",6,"2/6/2020","-.0526","-.000761","-.000316"
"39",6,"2/7/2020","-.0541","-.00345","-.00228"
"40",6,"2/8/2020","-.0424","-.000598",".0000157"
"41",6,"2/9/2020","-.0109",".0139",".0092"
"42",7,"2/10/2020","-.0364","-.0114","-.00522"
"43",7,"2/11/2020","-.0675","-.0247","-.00934"
"44",7,"2/12/2020","-.0689","-.0197","-.00353"
"45",7,"2/13/2020","-.0322","-.00301","-.000325"
"46",7,"2/14/2020","-.0245","-.00143","-.000538"
"47",7,"2/15/2020","-.0806","-.00755","-.00558"
"48",7,"2/16/2020","-.0922","-.0105","-.00418"
"49",8,"2/17/2020","-.0699",".0254",".000288"
"50",8,"2/18/2020","-.0566",".0255",".00333"
"51",8,"2/19/2020","-.05",".000367","-.00427"
"52",8,"2/20/2020","-.0638","-.00549","-.00546"
"53",8,"2/21/2020","-.0693","-.004","-.0115"
"54",8,"2/22/2020","-.0222",".00436","-.0158"
"55",8,"2/23/2020","-.0105",".00977","-.0187"
"56",9,"2/24/2020","-.00585",".0203","-.025"
"57",9,"2/25/2020",".0159",".0233","-.0317"
"58",9,"2/26/2020","-.00654",".0247","-.0267"
"59",9,"2/27/2020","-.0243",".0219","-.0292"
